CAR,NAME,NSQAR,CARINSEE,LAR,NSQCO,SURFACE,PERIMETRE,Geometry_X ,Geometry_Y
3,Temple,750000003,75103,3eme Ardt,750001537,1170882.828,4519.263648,48.86287238,2.360000986
2,Bourse,750000002,75102,2eme Ardt,750001537,991153.7447,4554.10436,48.86827922,2.342802547
17,Batignolles-Monceau,750000017,75117,17eme Ardt,750001537,5668834.504,10775.57952,48.88732652,2.306776991
7,Palais-Bourbon,750000007,75107,7eme Ardt,750001537,4090057.185,8099.424883,48.85617443,2.312187691
4,Hotel-de-Ville,750000004,75104,4eme Ardt,750001537,1600585.632,5420.908434,48.85434143,2.35762962
8,elysee,750000008,75108,8eme Ardt,750001537,3880036.397,7880.533268,48.87272084,2.312554022
18,Buttes-Montmartre,750000018,75118,18eme Ardt,750001537,5996051.308,9916.464176,48.89256927,2.34816052
1,Louvre,750000001,75101,1er Ardt,750001537,1824612.86,6054.936862,48.8625627,2.336443362
11,Popincourt,750000011,75111,11eme Ardt,750001537,3665441.552,8282.011886,48.85905922,2.380058308
13,Gobelins,750000013,75113,13eme Ardt,750001537,7149311.091,11546.54653,48.82838803,2.36227244
14,Observatoire,750000014,75114,14eme Ardt,750001537,5614877.309,10317.48331,48.8292445,2.326542044
20,Menilmontant,750000020,75120,20eme Ardt,750001537,5983446.037,10704.94049,48.86346058,2.401188129
9,Opera,750000009,75109,9eme Ardt,750001537,2178303.275,6471.58829,48.87716352,2.337457543
19,Buttes-Chaumont,750000019,75119,19eme Ardt,750001537,6792651.129,11253.18248,48.887076,2.38482096
15,Vaugirard,750000015,75115,15eme Ardt,750001537,8494994.081,13678.79831,48.84008538,2.292825822
10,Entrepot,750000010,75110,10eme Ardt,750001537,2891739.442,6739.375055,48.87613004,2.360728488
16,Passy,750000016,75116,16eme Ardt,750001537,16372542.13,17416.10966,48.86039211,2.261970788
5,Pantheon,750000005,75105,5eme Ardt,750001537,2539374.623,6239.195396,48.84444315,2.35071461
6,Luxembourg,750000006,75106,6eme Ardt,750001537,2153095.586,6483.686786,48.84913036,2.332897999
12,Reuilly,750000012,75112,12eme Ardt,750001537,16314782.64,24089.6663,48.83497438,2.421324901
